author_id,name,pos,org,paper_id
158244,"timothy k shih",1,"Department of Computer Science and Information Engineering",69332
13110,"laurence t yang",3,"Department of Computer Science",117740
324394,"yu wu",5,"Department of Electronic Engineering",156985
238530,"qin gui bao",2,"Department of Chemistry",111856
111663,"shaopeng liu",1,"Department of Precision Instruments and Mechanology",48236
66924,"le cheng",2,"Huaian College of Information Tecnology",27366
16704,"yifeng cai",2,"Department of Hematology Affiliated Hospital of Nantong University",6385
30543,"bo zhou",3,"College of Life Science and Technology Central South University of Forestry and Technology",12270
200736,"zuohua huang",2,"Laboratory of Quantum Engineering and Quantum Materials School of Physics and Telecommunication Engineering South China Normal University",91359
26025,"lu xu",1,"School of Pharmacy Shenyang Pharmaceutical University",27318
56041,"feng zhang",1,"Department of Pharmacy Changzheng Hospital Second Military Medical University",68107
153967,"fang fang",0,"Faculty of Urban Construction and Environmental Engineering",67368
97646,"shuangshuang guo",1,"State key Laboratory of Animal Nutrition Hubei Collaborative Innovation Center for Animal Nutrition and Feed Science College of Animal Science and Technology China Agricultural University Beijing",41957
310929,"xiang lan han",0,"School of Information Science and Engineering",150000
10101,"guangjun zhang",1,"BeiHang University",3804
99935,"weihua wu",2,"Department of Nephrology",174912
966,"hongtao liu",0,"Laboratory of Medical Immunology",195219
7151,"shuchun yao",0,"State Key Lab of Lake Science and Environment Nanjing Institute of Geography and Limnology Chinese Academy of Sciences",113335
230007,"dingtian shi",1,"Tianjin Key Laboratory of Process Measurement and Control",107195
110950,"guangbo fan",7,"Department of Materials Chemistry",47747
380755,"hong yu zhou",4,"College of Materials Science and Engineering",187763
70494,"yongjun li",0,"Beijing National Laboratory for Molecular Sciences BNLMS",164332
287086,"qingbo yu",1,"School of Materials and Metallurgy Northeastern University",167547
88935,"seik weng ng",3,"Department of Chemistry",38024
75124,"shouke yan",5,"State Key Laboratory of Chemical Resource Engineering",31026
8363,"limin zhang",1,"Naval Aeronautical and Astronautical University",36270
245405,"peng cai",3,"Key Laboratory of Subtropical Agriculture and Environment",119498
244963,"y h ding",6,"Institute of Parallel Processing",115475
101511,"jian jun yan",3,"Department of Cardiology",106460
27174,"min fan",6,"Department of Radiation Oncology Shanghai Cancer Center Fudan University",10890
262056,"tie wang",1,"ChangChun University of Technology",123797
276650,"dengfu yao",5,"Department of Medical Informatics",131817
138011,"j robertson",1,"Department of Engineering",59598
406726,"hong hua",7,"Department of Oral Medicine School and Hospital of Stomatology Peking University",202295
217234,"jing huang",18,"Institute of High Energy Physics",121181
92690,"fei huang",0,"School of Resources and Civil Engineering Northeastern University",39715
400072,"yanjun chen",5,"Electronic Materials Research Laboratory Key Laboratory of the Ministry of Education International Center for Dielectric Research XiAn Jiaotong University",198404
254067,"zhiguo rao",2,"Department of Critical Care",119586
15624,"jing luo",0,"Key Laboratory of Systematic Mycology and Lichenology Laboratory",178193
176418,"chi he",1,"Group 63863",88820
88788,"jiantao zhou",0,"Department of Electronic and Computer Engineering",37279
24503,"jing wang",0,"Department of Dermatology",167312
357714,"jing zhao",1,"School of Chemical Engineering",174042
88935,"seik weng ng",0,"Department of Chemistry",37612
20098,"shaojun zhang",6,"Institute of Crystal Materials",128240
281925,"zhao xi cai",3,"Radiology Department of Sun Yatsen Memorial Hospital",134708
373665,"lin huang",3,"Institute of Geographic Sciences and Natural Resources Research Chinese Academy of Sciences",183936
283221,"jun xiong",1,"Department of Civil Engineering",135259
306381,"xin cheng",4,"Beijing National Laboratory for Molecular Sciences State Key Laboratory of Rare Earth Materials Chemistry and Applications College of Chemistry and Molecular Engineering Peking University",147411
41613,"fosong wang",3,"State Key Lab Poly Phys and Chem",173528
193317,"yiqiao hu",8,"State Key Laboratory of Pharmaceutical Biotechnology",86640
47058,"guanghui yu",5,"State Key Lab Funct Mat Info",151570
23797,"litong zhang",3,"National Key Laboratory of Thermostructural Composite Materials",29010
88551,"sheung fat ko",1,"Chang Gung Memorial Hospital at Kaohsiung",58591
249844,"hui huang",4,"Key Laboratory of Information Photonics and Optical Communication",192864
47910,"debin zhao",1,"School of Computer Science and Technology",100577
101805,"lu gan",0,"Department of Oncology",161517
81475,"jingjing tong",5,"Anhui Institute of Optics and Fine Mechanics",33815
26176,"jingping wang",5,"Institute of Molecular and Crystal Engineering",71662
239915,"hong mei zhang",1,"Department of Anaesthesiology and Pain Medicine",112667
176105,"zhenkang shen",2,"School of Electrical Science and Engineering",97834
364384,"c l philip chen",4,"Faculty of Science and Technology University of Macau",178444
46769,"fulin qiang",11,"Nantong Tumor Hospital",191145
21954,"nan yao lee",1,"Center for Infection Control",8711
296,"wen g jiang",5,"Metastasis and Angiogenesis Research Group Cardiff University School of Medicine Henry Welcome Building",127769
59111,"xian fa tang",5,"MOE Key Laboratory of Dermatology",130594
247098,"xiao sun",0,"Hunan University of Technology College of Mechanical Engineering",116300
50822,"hao wu",8,"Department of Infectious Diseases",145008
315693,"chibing shen",1,"Science and Technology on Scramjet Laboratory",152449
95438,"guosheng ren",4,"Molecular Oncology and Epigenetics Laboratory",50838
323760,"zhan renbin",2,"State Key Laboratory of Palaeobiology and Stratigraphy",156785
372264,"ming zhong",5,"Department of Cardiology",183168
204066,"gongnian xiao",1,"Zhejiang Haitong Food Group Co LTD",93466
94735,"jiu ju wang",3,"Key Laboratory of Photochemical Conversion and Optoelectronic Materials",40862
266200,"hang zhou",0,"College of Forestry",125757
221619,"guan ling wu",7,"Research Laboratory of Molecular Immunoparasitology",102430
42073,"a m zhu",1,"Sch of Chemical Eng and Technology",16765
256753,"xiaoqiao luo",1,"Department of Information and Technology",121142
317099,"cheng xu",0,"Ruijin Hospital",153110
271620,"zhengzhong wang",1,"State Key Laboratory of Frozen Soil Engineering",128750
30743,"guifang dong",5,"Department of Chemistry",64390
148687,"hui ling ma",5,"Department of Polymer Engineering",95102
117904,"chenglong tang",4,"State Key Laboratory of Multiphase Flow in Power Engineering",91243
31534,"w cui",16,"Hebei Mental Health Center",12473
144049,"yun sun",1,"Department of Chemistry",136439
203174,"bingnan feng",2,"Lab for Advanced Materials",92739
391263,"yinhe luo",6,"Department of Geophysics China University of Geosciences",193383
274792,"yuan zhou",0,"Department of Biology Anhui Medical University",130597
36957,"aiguo ren",8,"Institute of Reproductive and Child Health",14685
219001,"ke jun zhan",1,"College of Polymer Science and Engineering",101042
289115,"hsingbai chen",2,"Math and Computer College",138254
280011,"shanghong zhao",1,"College of Information and Navigation",164539
193474,"guifang cheng",3,"Department of Chemistry",86889
312090,"junsheng yuan",1,"Engineering Research Center of Seawater Utilization Technology",172282
260455,"chongming wu",1,"Pharmacology and Toxicology Research Center Institute of Medicinal Plant Development Peking Union Medical College",123170
324077,"sun jin",0,"Telecommunication Engineering Institute",156891
160399,"chun yan li",1,"Institute of Medicine",70389
15837,"yang liu",7,"State Key Laboratory for Structural Chemistry of Unstable and Stable Species",186773
11483,"yongdong li",4,"Key Laboratory of Physical Electronics and Devices Xian Jiaotong University Ministry of Education",183657
10947,"li xu",4,"Beijing Institute of Microchemistry",179845
184644,"qian yun zhang",0,"State Key Laboratory of Mechanics and Control of Mechanical Structures",81911
319979,"ke quan chen",2,"State Key Laboratory of MaterialsOriented Chemical Engineering",154918
190739,"qianfeng zhang",1,"State Key Lab of Struct Chemistry",120265
106529,"lei zhang",1,"Department of Radio Engineering",45650
97673,"dejun chen",4,"Key Laboratory of Green Chemical Media and Reactions",41974
218946,"min min pan",2,"College of Polymer Science and Engineering",100956
247999,"wenqian ge",0,"Precision OptoMechatronics Technology",116667
87228,"longlong ma",4,"Key Laboratory of Renewable Energy and Gas Hydrate",36609
387971,"xiao jie xie",3,"Department of Medical Imaging",191533
171612,"song chen",1,"Department of Cell Biology",171306
30857,"li qiang gu",1,"Department of Traumatic Orthopedics",67315
8032,"xiao hui zhao",1,"College of Communication Engineering",2986
87993,"wei tian",3,"The Key Laboratory of Orogenic Belts and Crustal Evolution",158818
316268,"haipeng guo",1,"Department of Computer Science United International College",152684
74343,"chen tan",6,"Key Laboratory of Development of Veterinary Diagnostic Products of Ministry of Agricultural",30640
180961,"y fujii",7,"Department of Physics",163537
278452,"yuming zhang",3,"State Key Laboratory of Hydraulic Engineering Simulation and Safety Tianjin University",132632
88981,"ji wei liu",3,"Coll of Chem and Chem Technology",90189
125215,"x f han",8,"Beijing National Laboratory of Condensed Matter Physics Institute of Physics Chinese Academy of Sciences",60303
198033,"lingxiao lv",4,"Beijing Key Laboratory of PhotoelectronicElectrophotonic Conversion Materials School of Chemistry Beijing Institute of Technology",89724
399831,"aiwei tang",4,"Key Laboratory of Luminescence and Optical Information Beijing Jiaotong University",198334
12836,"zhiyi zhang",0,"School of Materials Science and Engineering North University of China",22738
2132,"wei ping chen",0,"Key Laboratory of MicroSystems and MicroStructures Manufacturing",68006
80182,"s w jan",3,"Department of Medical Research",33364
235635,"hongyan chu",0,"College of Mechanical Engineering and Applied Electronics Technology Beijing University of Technology",110192
300359,"song wu",3,"Department of Anatomy and Neurobiology",144367
269969,"yang cao",5,"School of Aerospace",127624
345422,"yan liu",2,"Department of Neurosurgery",167295
87817,"q wang",3,"Department of Microbiology",36849
15382,"han ding",1,"State Key Laboratory of Mechanical System and Vibration",95509
201176,"qiang lv",2,"Department of Urology First Affiliated Hospital of Nanjing Medical University",91582
43332,"jingxuan yang",1,"State Key Laboratory for Modification of Chemical Fibers and Polymer Materials",112076
286644,"qi feng",0,"School of Chemistry and Chemical Engineering",137267
100509,"s xu",6,"Centre for Physical Examination",43247
105281,"youxin luo",0,"Department of Mechanical Engineering",45203
338668,"xuwei yang",2,"College of Chemistry",164045
228768,"xiaofan yang",3,"College of Computer Science",106228
233626,"naisheng zhang",12,"College of Animal Sciences and Veterinary Medicine",109102
42771,"guanghui ma",6,"National Key Laboratory of Biochemical Engineering",19229
369840,"quanfu li",1,"National Hepatobiliary and Enteric Surgery Research Centre",181951
368587,"yu ruichao",4,"Department of Medicine",181120
227215,"wen wei",0,"Department of Epidemiology School of Public Health Harbin Medical University",105222
145046,"yungui du",2,"State Key Laboratory of Coal Mine Disaster Dynamics and Control",63273
360885,"rui dong",0,"Beijing Laboratory of Metallic Materials and Processing for Modern Transportation",176417
319694,"jing lu",0,"Institute of Theoretical Physics",154712
16978,"dechun zou",4,"Beijing National Laboratory for Molecular Sciences",6468
48058,"h j wang",4,"Research Center of Laser Fusion",80613
398236,"f yue",2,"Department of Environmental Health",197315
40979,"jingxuan wu",0,"Department of Educational Technology",16298
40111,"shi chen",2,"Renesas Mobile Corporation",15860
313378,"xiaojing lin",3,"School of Geodesy and Geomatics",151415
231750,"gong yang",1,"Department of Medicine",108018
289800,"jingbo yin",1,"Department of Polymer Materials",138729
284330,"leilei sun",0,"School of Materials Science and Engineering",136037
55847,"yuming zhou",1,"School of Chemistry and Chemical Engineering",146391
184090,"c w liu",3,"Electronics Research and Service Organization",139121
219281,"na zhou",0,"Cancer Research Center",161377
202826,"donald f conrad",35,"Department of Pathology and Immunology Washington University School of Medicine",92534
234933,"cheng yi li",10,"Institute of Disease Control and Prevention Academy of Military Medical Science",109876
76698,"yun wang",6,"Institutes of Brain Science",83832
287180,"zj wang",4,"IMP",137478
114281,"liying zhang",5,"Department of Pathology",49342
275515,"yanxia feng",1,"School of Medicine",130967
299521,"lu guo sun",3,"Institute of Genetics and Cytology",199148
3522,"peng hui wang",6,"Department of Obstetrics and Gynecology",1288
42321,"p j sun",4,"Institute of Plasma Physics Chinese Academy of Sciences",16846
145281,"jiandong sun",1,"School of Civil Engineering",63261
276956,"wei li",14,"Department of Cardiology",131886
392190,"long biao wang",4,"Henan University of Science and Technology",194079
358544,"hua guo",0,"Nanjing Institute of Geography and Limnology",174604
86213,"lingqiang min",1,"Department of General Surgery Zhongshan Hospital Fudan University",36145
116806,"wang guanghou",2,"Natl Lab Solid State M",50273
1874,"zhenxing yue",0,"State Key Lab New Ceramics Fine Proc",60485
34076,"haiyan wu",1,"College of Engineering",90483
9220,"wei zhang",9,"Department of Toxicology",185162
15149,"na li",4,"Department of Ophthalmology Eye Institute of Chinese PLA Xijing Hospital of The Fourth Military University",5720
239915,"hong mei zhang",3,"Department of Physiology",165911
70323,"junfeng song",0,"Jilin Univ",172765
69982,"zhenchun li",1,"School of Geoscience China University of Petroleum East China",28382
359548,"guocheng dong",4,"Institute of Tibetan Plateau Research",175097
19992,"hongfeng yin",3,"State Key Laboratory of Solidification Processing",28772
391266,"andrew p roberts",3,"Research School of Earth Sciences",193385
172464,"umaporn suthutvoravut",0,"Department of Pediatrics Ramathibodi Hospital Mahidol University",76313
113606,"sasa wang",5,"School of Information and Communication Engineering",48987
222871,"zengjie fan",5,"Graduate University of Chinese Academy of Sciences",103023
304270,"fu sheng song",3,"Jingdezhen Ceramic Institute",146111
67187,"jianbin hu",1,"School of Electronics Engineering and Computer Science Peking University",27457
360653,"zong sheng li",8,"State Key Laboratory for Biocontrol",176282
284870,"tianye cao",3,"Department of Chemistry",136403
263224,"hang yang",0,"Department of Gastroenterology Second Affiliated Hospital of Zhengzhou University",124374
88171,"j gu",2,"Department of Gynecology 3rd Affiliated Hospital of Sunyet Sam University",36940
226977,"dong liu",0,"Beijing Key Laboratory of Learning and Cognition",126024
173690,"hua yuan",0,"Department of Epidemiology and Biostatistics",140679
267070,"mei ching wang",7,"Div of Lab R and D",126130
63399,"hong zhou",7,"Department of Physics",201908
23993,"zhibin hu",18,"Department of Epidemiology and Biostatistics",145803
193294,"shiyan wang",4,"Beijing Key Laboratory for Bioengineering and Sensing Technology University of Science and Technology Beijing",86727
38132,"yong jian wu",11,"Department of Cardiology",131882
218594,"yiping cui",4,"Advanced Photonic Center Electronics Engineering Southeast University",100410
296466,"lan chu",7,"Department of Neurology",145868
101390,"xinhui liu",0,"State Key Lab Environ Simulat P",43478
132884,"s wang",8,"Department of Epidemiology",57400
290150,"juan wang",0,"Department of Radiation Oncology Shandong Cancer Hospital Shandong Academy of Medical Sciences",138999
145816,"qi fang li",0,"Department of Anesthesiology",63490
1795,"longtu li",4,"Tsinghua Univ",60422
109908,"wa hung leung",5,"Department of Chemistry",129558
26413,"fei wang",1,"Cardiovascular center ChinaJapan Friendship Hospital",10648
240776,"duo liu",5,"University of Chinese Academy of Sciences",113199
25198,"zhong wen wu",4,"Department of Chemistry",10157
344937,"wen qian wang",4,"Shanghai Research Institute of Acupuncture and Meridian",167094
249276,"youzhi xu",4,"Department of Pathophysiology School of Basic Medicine AnHui Medical University",117220
59092,"sheng xin xu",4,"Institute of Dermatology and Department of Dermatology",130585
145027,"yinan zhang",0,"Centre for MicroPhotonics",63159
15009,"jing yue gong",7,"nan",5680
183351,"xiaoyan xu",6,"College of Precision Instrument and Optoelectronics Engineering",118500
20145,"xiaohan chen",1,"School of Information Science and Engineering Shandong University",128387
19013,"hongchao kou",0,"State Key Laboratory of Solidification Processing",7348
220856,"xuegong yu",3,"State Key Lab of Silicon Materials",102076
401175,"zhongqing ji",11,"Daniel Chee Tsui Laboratory",198997
215725,"yu hua wei",7,"Department of Hepatobiliary Surgery",99088
78198,"qimin zhan",21,"State Key Laboratory of Molecular Oncology",140184
159731,"ke lin",4,"Department of Cardiovascular Surgery West China Hospital Sichuan University",141088
104597,"jun wu",2,"School of Software Dalian University of Technology",44819
269442,"jian jun xu",3,"CNNC Key Laboratory on Nuclear Reactor Thermal Hydraulics Technology Nuclear Power Institute of China",139550
24729,"xue qin",9,"Department of Clinical Laboratory",188130
71666,"chun xiao cao",3,"Beijing Institute of Aeronautical Materials",29502
136768,"xin fan",3,"State Key Laboratory of Petroleum Resources and Prospecting China University of Petroleum",59196
359840,"geng yang",1,"College of Computer Science",175245
26486,"jing yuan",4,"State Key Laboratory of ChemoBioSensing and Chemometrics College of Chemistry and Chemical Engineering Hunan University",10667
143248,"tung yen wu",3,"Department of Computer Science and Information Engineering National Taiwan University",62345
262946,"jing cui",0,"Department of Precision Instruments and Mechanology",124258
226661,"zheng zheng",1,"College of Chemistry and Chemical Engineering Key Laboratory of Functional Inorganic Materials Chemistry of Anhui Province Anhui University",104935
53570,"yingrui li",22,"BGIShenzhen",140113
136327,"lei yi",1,"State Key Laboratory of Power Metallurgy",59038
54581,"zhong zhen zhao",0,"School of Chinese Medicine",22014
60444,"lihua zhao",1,"Hunan University",24351
176650,"xue jiang qian",6,"Department of Interventional Radiology",78245
13424,"ying dong li",5,"Gansu College of Traditional Chinese Medicine",5055
199027,"xing yang",1,"Department of Information and Communication",90105
220627,"bing ge",2,"School of Mechanical Eng",101973
343260,"yanan mo",2,"Shanghai Eye Research Institute",166292
32519,"shijin shuai",1,"State Key Laboratory of Automotive Safety and Energy",12832
394929,"feng chen",1,"ENN Coal Gasification Mining Co Ltd",195542
363612,"chengshan xiao",1,"Department of Electrical and Computer Engineering",177990
134194,"liping zhu",1,"Shanghai Institute of Brain Functional Genomics",57940
55398,"dan dan wu",1,"College of Physics and Wuhan National High Magnetic Field Center Huazhong University of Science and Technology",22412
158173,"xiaoqiang tu",2,"Sichuan Province Key Laboratory of Information Materials and Devices Application",69165
22615,"juncheng wei",1,"Department of Mathematics",9094
363822,"binwen lu",4,"Department of Control Engineering",178136
121542,"hai fu guo",0,"College of Chemistry and Chemical Engineering Zhaoqing University",52835
153486,"xiaoqin zhang",1,"University of Machinery and Electronic",165356
355057,"yin yang",3,"Advanced Digital Sciences Center",172058
229074,"anrui he",1,"National Engineering Research Center for Advanced Rolling",187522
376,"qing zhang",0,"Department of Nephrology",56439
92964,"shi bin yin",5,"School of Materials Science and Engineering China University of Mining and Technology",39815
147877,"younan xia",5,"Department of Biomedical Engineering",81979
60409,"jin hui zhao",3,"Mechanical Engineering College",24339
26790,"xin deng",1,"Department of Chemistry",192540
137947,"h c huang",11,"Animal Technology Institute Taiwan",59575
27832,"shengyuan xu",2,"Department of Mechanical Engineering",141151
4929,"jun hu zhou",5,"State Key Laboratory of Clean Energy Utilization Zhejiang University",29967
30711,"ling zhang",3,"State Key Laboratory for Mechanical Manufacturing System",133909
90772,"yuguang ma",5,"State Key Laboratory of Supramolecular Structure and Materials",102017
120165,"jinlong zhang",5,"Laboratory for Advanced Materials",188855
58133,"ye zhou",0,"School of Economics and Management",23719
404740,"wenbo chen",0,"Institute of Plant Protection Chinese Academy of Agricultural Sciences",201307
52906,"todd charlton sacktor",16,"Department of Physiology and Pharmacology Robert Furchgott Center for Neural and Behavioral Science SUNY Downstate Medical Center",21385
230491,"yingqian han",3,"Key Laboratory of Animal Biochemistry and Nutrition Ministry of Agriculture Henan Agricultural University",107370
30760,"zhaoxin wu",1,"Key Laboratory for Physical Electronics and Devices of the Ministry of Education",79495
24299,"ran ran liu",0,"State Key Laboratory for Agrobiotechnology",9938
69431,"xiaohong shu",1,"Dalian Medical University",28216
324554,"ke yang",2,"ASIC and Syst Lab",157187
397570,"wenrui zhang",0,"University of the Chinese Academy of Sciences",196886
403047,"ping sun",3,"Institute for Health Promotion and Disease Prevention Research",200109
6412,"yan zeng",0,"Graduate School",141564
124477,"sebastian hein",2,"University of Applied Forest Sciences",54149
48755,"nengbing long",8,"Faculty of Materials Science and Chemical Engineering",19527
288972,"xue bai",0,"State Key Laboratory of Applied Organic Chemistry",138145
220980,"zhe li",1,"China Academy of Launch Vehicle Technology Research and Development Center",102128
246467,"z yan",4,"Medical Examination Center Zhejiang Chinese Medical University",115962
294169,"wen yong xu",3,"3D Printing Research and Engineering Technology Center Beijing Institute of Aeronautical Materials",140811
301514,"dan chen",3,"Department of Ophthalmology",144982
388451,"hong liu rong",1,"College of Civil Engineering and Architecture Guangxi University",191759
64466,"jing feng weng",0,"Department of Mechanical Engineering National Cheng Kung University",25827
70589,"zhifeng liu",1,"Hefei Univ of Technology",193089
24764,"j zhu",3,"Institute for Nutritional Sciences",85634
131650,"sumin wang",0,"Lake Sediment and Environ Lab",113230
20126,"jun sun",2,"Institute of Image Communication and Information Processing",127379
275159,"hui pan",1,"Beijing Institute of Aeronautical Materials",130694
86038,"shengyong pang",1,"State Key Laboratory of Materials Processing and Die and Mould Technology",36069
29904,"weihong tan",6,"Center for Research at the BioNano Interface Department of Chemistry University of Florida",63731
182224,"y xia",3,"Department of Surgery",80848
199545,"feng qiu",5,"Department of Neurosurgery",90551
1924,"jianjun tian",2,"Key Laboratory of Polar Materials and Devices",57962
29230,"hui cai",2,"College of Electronic and Automatic",108190
285098,"xiao hui cai",0,"Northeastern University",136562
35925,"zhiwei chen",1,"Jiangsu University",14300
98699,"zhengtang chen",4,"Institute of Cancer",139859
85086,"yinghai yuan",2,"Institute of Robotics and Automatic Information System",35414
204909,"qing feng meng",1,"Jilin EntryExit Inspection and Quarantine Bureau",93943
118447,"qianqian li",2,"Key Laboratory of Photoelectronic Imaging Technology and System of Ministry of Education",50867
66087,"liming wang",5,"Key Laboratory of Environmental Optics and Technology",33808
6191,"hongxia liu",2,"Key Laboratory of Chemical Biology Guangdong Province Graduate School of Shenzhen Tsinghua University",179934
18579,"feng sun",0,"College of Transportation",7183
99808,"k ostrikov",0,"Plasma Systems",43000
230812,"tianguang chu",1,"Center for Systems and Control",183385
335442,"hua lai",0,"College of Chemistry",164043
218792,"hui bo he",0,"Department of Chemical and Materials Engineering University of Alberta",184652
33482,"runyu ma",2,"College of Chemical Engineering Beijing University of Chemical Technology",13452
82636,"weiming hu",2,"Institute of Automation",67111
267346,"ya shan cheng",0,"Institute of Biotechnology",126254
132526,"y shi",1,"Department of Pathology Zhongshan Hospital Fudan University",57288
27721,"zhong chen",2,"Division of Medical Genetics",10995
284434,"muneharu maruyama",5,"First Department of Internal Medicine",136103
368077,"yu ming wang",0,"Department of Gastroenterology First Affiliated Hospital of Zhejiang University School of Medicine",180790
181263,"a sumalee",2,"Department of Civil and Structural Engineering",80514
73352,"bingtao zhao",1,"School of Energy and Power Engineering University of Shanghai for Science and Technology",166864
403612,"jing an",0,"School of Mathematics and Computer Science Guizhou Normal University",200469
41495,"li zhang",3,"State Key Laboratory of Pharmaceutical Biotechnology",67273
217344,"h h chen",4,"Customer IntegrationEngineer Dept",160985
15972,"xiao yu",1,"Department of Pediatrics",6119
150189,"y lu",2,"Department of Construction and Real Estate School of Civil Engineering Southeast University",65530
118622,"xing fu",5,"State Key Laboratory of Precision Measuring Technology and Instruments",50918
847,"xiao xu",6,"ACEA Biosciences Inc",193529
89788,"chun hung lin",0,"Dept of Electronic Engineering",191902
167104,"daxin ren",1,"Key Laboratory of Liaoning Advanced Welding and Joining Technology",73153
63900,"shi wang",4,"Department of Pulmonary Medicine Central Hospital Affiliated to Shenyang Medical College",25543
61842,"jinhua wang",3,"Department of Computer Science",141862
162279,"jin xu",1,"State Key Laboratory of Molecular Neuroscience",141712
213850,"shulin liu",1,"National Laboratory of Pattern Recognition Institute of Automation Chinese Academy of Sciences",98415
204601,"peng bo yang",1,"State Key Lab Biochem Eng",93776
171772,"hongtao hou",1,"School of Information System and Management",76049
382653,"lifang niu",0,"Graduate School of the Chinese Academy of Sciences",188678
200246,"yinghua zhang",1,"Institute of Automation Chinese Academy of Sciences",90868
